"route","title","word_count","canonical","robots","internal_links","external_links","classification","recommendation"
"1a0x1-afsc.html","1A0X1 US Air Force In-Flight Refueling | VeteranCareerPath","1308","https://veterancareerpath.com/mos/1a0x1.html","","374","0","canonicalized_duplicate","excluded from sitemap or redirected"
"1a1x1-afsc.html","1A1X1 US Air Force Flight Engineer | Civilian Career Guide 2026","1321","https://veterancareerpath.com/mos/1a1x1.html","","374","0","canonicalized_duplicate","excluded from sitemap or redirected"
"2t231-afsc.html","2T231 / 2T2X1 US Air Force Air Transportation | VeteranCareerPath","1321","https://veterancareerpath.com/2t231-afsc.html","","374","0","standard_page","keep"
"404.html","Page Not Found | Veteran Career Path","69","","noindex","6","0","noindex_or_legacy","excluded from sitemap or redirected"
"68w.html","68W Combat Medic Civilian Careers | VeteranCareerPath","5551","https://veterancareerpath.com/mos/68w.html","","399","0","resource_page","keep"
"_REDIRECT_TEMPLATE.html","Redirecting...","7","CANONICAL_URL","","0","0","thin_review","review for consolidation or noindex"
"_email-signup-snippet.html","","91","","","0","0","thin_review","review for consolidation or noindex"
"about.html","About Veteran Career Path | Built by a Veteran, for Veterans","1933","https://veterancareerpath.com/about.html","","383","0","standard_page","keep"
"admin.html","VCP Admin Panel","446","","noindex,nofollow","0","2","noindex_or_legacy","excluded from sitemap or redirected"
"affiliate/affiliate-blocks.html","","248","","","0","0","thin_review","review for consolidation or noindex"
"affiliate/email-capture-widget.html","","67","","","0","0","thin_review","review for consolidation or noindex"
"air-force-afsc-careers.html","Air Force AFSC Civilian Careers 2026 | All AFSC Codes","1728","https://veterancareerpath.com/air-force-afsc-careers.html","","525","0","resource_page","keep"
"alabama-veteran-benefits.html","Alabama Veteran Benefits 2026 | Tax-Free Retirement & Programs","2673","https://veterancareerpath.com/alabama-veteran-benefits.html","","392","0","state_benefits_sources_review","add official current state/VA sources or noindex"
"alaska-veteran-benefits.html","Alaska Veteran Benefits 2026 | Tax-Free & PFD Benefits","2639","https://veterancareerpath.com/alaska-veteran-benefits.html","","392","0","state_benefits_sources_review","add official current state/VA sources or noindex"
"app.html","Veteran Career Tools | AI Resume & Job Builder","972","https://veterancareerpath.com/app.html","","371","0","resource_page","keep"
"arizona-veteran-benefits.html","Arizona Veteran Benefits 2026 | Relief Fund & Tax Benefits","2732","https://veterancareerpath.com/arizona-veteran-benefits.html","","392","0","state_benefits_sources_review","add official current state/VA sources or noindex"
"arkansas-veteran-benefits.html","Arkansas Veteran Benefits 2026 | Full Guide","2671","https://veterancareerpath.com/arkansas-veteran-benefits.html","","392","0","state_benefits_sources_review","add official current state/VA sources or noindex"
"army-35e-mos.html","35E US Army Counterintelligence Agent | VeteranCareerPath","1313","https://veterancareerpath.com/mos/35e.html","","374","0","canonicalized_duplicate","excluded from sitemap or redirected"
"army-35y-mos.html","35Y US Army Chief Intelligence Sergeant | VeteranCareerPath","1292","https://veterancareerpath.com/mos/35y.html","","374","0","canonicalized_duplicate","excluded from sitemap or redirected"
"army-mos-careers.html","Army MOS List 2026 | All 229 MOS Codes & Careers","2184","https://veterancareerpath.com/army-mos-careers.html","","622","0","resource_page","keep"
"blended-retirement-system-guide.html","Blended Retirement System (BRS) Guide 2026","1483","https://veterancareerpath.com/blended-retirement-system-guide.html","","391","0","resource_page","keep"
"blog/best-certifications-for-veterans.html","Best Certifications for Veterans 2026: Fast-Track Your Civilian Career | VeteranCareerPath","2935","https://veterancareerpath.com/blog/best-certifications-for-veterans.html","","369","0","standard_page","keep"
"blog/best-states-for-veterans-2026.html","Best States for Veterans 2026: Tax Benefits, Jobs & Quality of Life | VeteranCareerPath","3099","https://veterancareerpath.com/blog/best-states-for-veterans-2026.html","","370","0","resource_page","keep"
"blog/dity-pcs-move-calculator-guide.html","DITY (PPM) Move Calculator 2026 | How to Calculate Your PCS Entitlements","1967","https://veterancareerpath.com/blog/dity-pcs-move-calculator-guide.html","","102","0","tool_page","keep"
"blog/federal-jobs-for-veterans.html","Federal Jobs for Veterans: GS Pay Scale, Veterans Preference & How to Apply | VeteranCareerPath","1957","https://veterancareerpath.com/blog/federal-jobs-for-veterans.html","","66","0","standard_page","keep"
"blog/gi-bill-benefits-explained-2026.html","GI Bill Benefits Explained 2026: Post-9/11, Montgomery & How to Maximize | VeteranCareerPath","1751","https://veterancareerpath.com/blog/gi-bill-benefits-explained-2026.html","","47","0","resource_page","keep"
"blog/gs-grade-for-e5.html","What GS Grade Can an E-5 Get? Federal Pay Guide for NCOs | VeteranCareerPath","3663","https://veterancareerpath.com/blog/gs-grade-for-e5.html","","369","0","resource_page","keep"
"blog/how-to-file-va-disability-claim.html","How to File a VA Disability Claim in 2026: Step-by-Step Guide | VeteranCareerPath","2550","https://veterancareerpath.com/blog/how-to-file-va-disability-claim.html","","278","0","resource_page","keep"
"blog/index.html","Veteran Career Blog, Military to Civilian Transition Tips | VeteranCareerPath","1534","https://veterancareerpath.com/blog/","","358","0","canonicalized_duplicate","excluded from sitemap or redirected"
